2017-07-17 16:04:41.169 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/add2.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:04:41.171 [http-nio-8084-exec-10] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/2.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:04:41.184 [http-nio-8084-exec-9] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:05:19.564 [http-nio-8084-exec-10] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:05:19.573 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/headd.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:05:19.591 [http-nio-8084-exec-7] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/add2.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:05:19.595 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/2.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:06:03.284 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:06:03.358 [http-nio-8084-exec-6] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:06:10.276 [http-nio-8084-exec-5] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:06:10.385 [http-nio-8084-exec-1] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:06:36.363 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:06:36.433 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:10:26.147 [http-nio-8084-exec-5] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:10:26.233 [http-nio-8084-exec-1] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:12:25.066 [http-nio-8084-exec-6] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:12:25.128 [http-nio-8084-exec-10] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:12:39.051 [http-nio-8084-exec-1] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:12:39.115 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:13:07.634 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:13:07.705 [http-nio-8084-exec-4] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:13:19.191 [http-nio-8084-exec-9] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:13:19.262 [http-nio-8084-exec-5] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:13:51.140 [http-nio-8084-exec-7] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:13:51.211 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:22:40.467 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 16:22:41.281 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 16:22:58.682 [http-nio-8084-exec-7] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/headc.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:22:58.740 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/headc.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:24:08.402 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/headc.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:24:08.461 [http-nio-8084-exec-9] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/headc.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:39:33.509 [http-nio-8084-exec-5] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/groupcommon] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:40:21.355 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 16:40:22.195 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 17:06:18.666 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 17:06:19.476 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
